Código IBGE;Municípios;Microrregião;Estado;Região Geográfica;Área Km²;População;Domicílios;PIB Total (R$ mil);IDH - Índice de Desenv. Humano;Renda Média;Renda Nominal;PEA Dia;IDH - Dimensão Educação;IDH - Dimensão Longevidade; Última Atualização
5211503;Itumbiara;Centro-Oeste;GO;Meia Ponte;2.462,93;105.809;36.502,96;4.187.512,28;0.752;4.086,40;149.165.759,98;80.473,00;0.682;0.838;01/06/2024 01:40:00
5211602;Ivolândia;Centro-Oeste;GO;Iporá;1.257,66;2.334;900,65;84.886,43;0.704;2.735,92;2.464.113,79;1.294,00;0.622;0.825;01/06/2024 01:40:00
5211701;Jandaia;Centro-Oeste;GO;Vale do Rio dos Bois;864,11;6.025;2.279,1;245.069,15;0.707;3.164,36;7.211.895,07;4.861,00;0.625;0.821;01/06/2024 01:40:00
5211800;Jaraguá;Centro-Oeste;GO;Anápolis;1.849,55;51.338;16.625,33;705.087,51;0.699;3.381,98;56.226.551,47;20.968,00;0.588;0.841;01/06/2024 01:40:00
5211909;Jataí;Centro-Oeste;GO;Sudoeste de Goiás;7.174,23;102.065;33.467,52;4.599.881,39;0.757;4.488,41;150.215.949,63;65.535,00;0.656;0.856;01/06/2024 01:40:00
5212006;Jaupaci;Centro-Oeste;GO;Iporá;527,1;2.860;1.044,3;49.282,58;0.689;2.707,35;2.827.280,81;1.450,00;0.602;0.824;01/06/2024 01:40:00
5212055;Jesúpolis;Centro-Oeste;GO;Anápolis;122,48;2.506;843,43;29.114,36;0.649;2.710,37;2.286.000,01;1.030,00;0.522;0.814;01/06/2024 01:40:00
5212105;Joviânia;Centro-Oeste;GO;Meia Ponte;445,49;7.402;2.612,39;210.209,58;0.706;3.529,31;9.219.945,50;3.205,00;0.595;0.827;01/06/2024 01:40:00
5212204;Jussara;Centro-Oeste;GO;Rio Vermelho;4.084,11;18.371;6.429,25;445.322,24;0.743;3.401,74;21.870.660,70;10.623,00;0.635;0.842;01/06/2024 01:40:00
5212253;Lagoa Santa;Centro-Oeste;GO;Quirinópolis;458,87;1.621;582,59;39.391,54;0.74;3.456,49;2.013.706,06;958,00;0.638;0.868;01/06/2024 01:40:00
5212303;Leopoldo de Bulhões;Centro-Oeste;GO;Goiânia;480,89;7.651;2.576,26;225.523,27;0.659;2.958,58;7.622.081,57;5.450,00;0.529;0.812;01/06/2024 01:40:00
5212501;Luziânia;Centro-Oeste;GO;Entorno de Brasília;3.961,12;211.508;63.020,87;3.578.084,58;0.701;3.572,02;225.111.669,00;76.814,00;0.602;0.831;01/06/2024 01:40:00
5212600;Mairipotaba;Centro-Oeste;GO;Meia Ponte;467,43;2.363;880,58;50.284,20;0.745;2.943,71;2.592.183,13;1.192,00;0.648;0.854;01/06/2024 01:40:00
5212709;Mambaí;Centro-Oeste;GO;Vão do Paranã;880,62;9.081;2.641,8;81.436,82;0.626;2.306,85;6.094.230,26;3.037,00;0.494;0.816;01/06/2024 01:40:00
5212808;Mara Rosa;Centro-Oeste;GO;Porangatu;1.687,9;9.363;3.189,35;192.491,97;0.691;3.072,32;9.798.713,97;4.224,00;0.579;0.838;01/06/2024 01:40:00
5212907;Marzagão;Centro-Oeste;GO;Meia Ponte;222,43;2.250;803,21;41.951,19;0.699;3.218,18;2.584.882,73;1.121,00;0.601;0.822;01/06/2024 01:40:00
5212956;Matrinchã;Centro-Oeste;GO;Rio Vermelho;1.150,89;4.336;1.526,98;98.059,01;0.679;2.647,32;4.042.412,34;2.248,00;0.572;0.84;01/06/2024 01:40:00
5213004;Maurilândia;Centro-Oeste;GO;Sudoeste de Goiás;389,76;14.327;4.610,77;226.101,99;0.677;3.511,16;16.189.137,57;5.129,00;0.554;0.823;01/06/2024 01:40:00
5213053;Mimoso de Goiás;Centro-Oeste;GO;Entorno de Brasília;1.386,91;2.583;870,14;57.223,56;0.665;2.492,41;2.168.751,03;1.363,00;0.543;0.825;01/06/2024 01:40:00
5213087;Minaçu;Centro-Oeste;GO;Porangatu;2.860,73;28.793;9.399,92;1.034.924,68;0.707;2.983,95;28.048.930,73;12.190,00;0.637;0.803;01/06/2024 01:40:00
5213103;Mineiros;Centro-Oeste;GO;Sudoeste de Goiás;9.060,1;68.154;21.401,15;2.567.590,55;0.718;4.245,28;90.853.809,95;44.007,00;0.584;0.84;01/06/2024 01:40:00
5213400;Moiporá;Centro-Oeste;GO;Iporá;460,62;1.501;564,91;34.914,80;0.696;2.602,41;1.470.120,18;1.043,00;0.632;0.818;01/06/2024 01:40:00
5213509;Monte Alegre de Goiás;Centro-Oeste;GO;Chapada dos Veadeiros;3.119,8;8.684;2.550,29;82.243,42;0.615;2.043,47;5.211.448,91;3.082,00;0.481;0.816;01/06/2024 01:40:00
5213707;Montes Claros de Goiás;Centro-Oeste;GO;Aragarças;2.899,18;8.047;2.881,05;293.741,29;0.707;3.229,17;9.303.393,65;5.001,00;0.622;0.806;01/06/2024 01:40:00
5213756;Montividiu;Centro-Oeste;GO;Sudoeste de Goiás;1.874,15;13.672;4.433,37;780.259,15;0.733;4.160,03;18.442.933,83;7.247,00;0.644;0.827;01/06/2024 01:40:00
5213772;Montividiu do Norte;Centro-Oeste;GO;Porangatu;1.332,99;4.509;1.412,81;69.768,73;0.613;1.841,78;2.602.086,44;1.836,00;0.488;0.816;01/06/2024 01:40:00
5213806;Morrinhos;Centro-Oeste;GO;Meia Ponte;2.846,2;46.548;16.673,25;1.370.454,99;0.734;3.802,31;63.396.831,32;29.178,00;0.621;0.862;01/06/2024 01:40:00
5213855;Morro Agudo de Goiás;Centro-Oeste;GO;Ceres;282,62;2.232;817,36;38.965,22;0.695;2.578,10;2.107.243,68;1.966,00;0.63;0.826;01/06/2024 01:40:00
5213905;Mossâmedes;Centro-Oeste;GO;Anicuns;684,45;4.206;1.538,89;78.295,00;0.706;2.907,07;4.473.655,10;2.791,00;0.623;0.811;01/06/2024 01:40:00
5214002;Mozarlândia;Centro-Oeste;GO;São Miguel do Araguaia;1.734,36;15.870;5.312,55;528.865,18;0.683;3.379,89;17.955.835,32;10.851,00;0.565;0.825;01/06/2024 01:40:00
5214051;Mundo Novo;Centro-Oeste;GO;São Miguel do Araguaia;2.146,65;4.713;1.654,23;96.767,61;0.634;2.563,79;4.241.101,61;2.686,00;0.488;0.812;01/06/2024 01:40:00
5214101;Mutunópolis;Centro-Oeste;GO;Porangatu;955,87;3.764;1.337,51;61.205,39;0.68;2.574,04;3.442.796,73;1.491,00;0.584;0.806;01/06/2024 01:40:00
5214408;Nazário;Centro-Oeste;GO;Anicuns;269,1;9.260;3.333,47;177.123,79;0.71;3.234,06;10.780.620,29;4.918,00;0.631;0.808;01/06/2024 01:40:00
5214507;Nerópolis;Centro-Oeste;GO;Goiânia;204,22;30.395;9.667,49;729.808,92;0.721;3.453,13;33.383.088,38;19.556,00;0.671;0.82;01/06/2024 01:40:00
5214606;Niquelândia;Centro-Oeste;GO;Porangatu;9.843,24;46.730;14.935,8;1.106.850,12;0.715;3.398,12;50.753.655,75;21.666,00;0.64;0.806;01/06/2024 01:40:00
5214705;Nova América;Centro-Oeste;GO;Ceres;212,03;2.357;843,6;37.488,95;0.678;2.772,77;2.339.110,21;960,00;0.604;0.796;01/06/2024 01:40:00
5214804;Nova Aurora;Centro-Oeste;GO;Catalão;302,66;2.222;824,04;49.202,34;0.747;3.347,46;2.758.457,65;961,00;0.697;0.849;01/06/2024 01:40:00
5214838;Nova Crixás;Centro-Oeste;GO;São Miguel do Araguaia;7.298,78;12.945;4.454,47;356.302,68;0.643;2.918,91;13.002.223,38;7.431,00;0.485;0.813;01/06/2024 01:40:00
5214861;Nova Glória;Centro-Oeste;GO;Ceres;412,95;8.112;2.950,28;117.706,07;0.681;2.502,64;7.383.486,49;3.656,00;0.589;0.816;01/06/2024 01:40:00
5214879;Nova Iguaçu de Goiás;Centro-Oeste;GO;Porangatu;628,44;2.934;1.008,39;41.120,58;0.655;2.678,69;2.701.165,75;1.031,00;0.54;0.812;01/06/2024 01:40:00
5214903;Nova Roma;Centro-Oeste;GO;Chapada dos Veadeiros;2.135,96;3.236;1.095,17;45.009,83;0.634;2.000,42;2.190.811,17;1.471,00;0.529;0.812;01/06/2024 01:40:00
5215009;Nova Veneza;Centro-Oeste;GO;Anápolis;123,38;10.018;3.182,07;182.680,47;0.718;3.380,61;10.757.344,65;4.379,00;0.66;0.837;01/06/2024 01:40:00
5215207;Novo Brasil;Centro-Oeste;GO;Iporá;649,95;2.843;1.122,67;56.094,14;0.699;3.046,85;3.420.609,91;1.747,00;0.598;0.828;01/06/2024 01:40:00
5215231;Novo Gama;Centro-Oeste;GO;Entorno de Brasília;194,15;117.703;34.263,49;955.266,12;0.684;3.308,67;113.366.693,97;30.291,00;0.567;0.851;01/06/2024 01:40:00
5215256;Novo Planalto;Centro-Oeste;GO;São Miguel do Araguaia;1.242,73;4.544;1.605,75;103.728,88;0.658;2.099,83;3.371.807,26;1.940,00;0.55;0.831;01/06/2024 01:40:00
5215306;Orizona;Centro-Oeste;GO;Pires do Rio;1.972,88;15.725;5.583,51;518.707,81;0.715;3.620,01;20.212.379,48;7.914,00;0.612;0.827;01/06/2024 01:40:00
5215405;Ouro Verde de Goiás;Centro-Oeste;GO;Anápolis;208,77;3.723;1.284,41;109.647,87;0.719;2.967,81;3.811.885,84;1.681,00;0.674;0.821;01/06/2024 01:40:00
5215504;Ouvidor;Centro-Oeste;GO;Catalão;413,78;6.782;2.355,44;761.881,42;0.747;3.927,06;9.249.948,41;6.621,00;0.697;0.83;01/06/2024 01:40:00
5215603;Padre Bernardo;Centro-Oeste;GO;Entorno de Brasília;3.138,86;34.430;10.439,2;506.796,01;0.651;2.939,26;30.683.579,91;13.050,00;0.515;0.801;01/06/2024 01:40:00
5215652;Palestina de Goiás;Centro-Oeste;GO;Sudoeste de Goiás;1.320,69;3.467;1.195,28;91.803,78;0.713;2.835,30;3.388.990,53;1.615,00;0.66;0.837;01/06/2024 01:40:00
5215702;Palmeiras de Goiás;Centro-Oeste;GO;Vale do Rio dos Bois;1.539,69;29.392;10.156,31;1.006.155,54;0.698;3.409,72;34.630.204,34;19.693,00;0.598;0.815;01/06/2024 01:40:00
5215801;Palmelo;Centro-Oeste;GO;Pires do Rio;58,96;2.381;834,03;39.098,33;0.73;3.240,82;2.702.925,23;1.260,00;0.659;0.804;01/06/2024 01:40:00
5215900;Palminópolis;Centro-Oeste;GO;Vale do Rio dos Bois;387,69;3.582;1.339,5;143.637,42;0.722;3.159,36;4.231.966,09;2.092,00;0.63;0.833;01/06/2024 01:40:00
5216007;Panamá;Centro-Oeste;GO;Meia Ponte;433,76;2.603;992,28;87.364,33;0.686;3.097,01;3.073.088,83;1.343,00;0.574;0.818;01/06/2024 01:40:00
5216304;Paranaiguara;Centro-Oeste;GO;Quirinópolis;1.153,83;10.140;3.564,18;185.182,54;0.711;3.568,99;12.720.546,07;4.542,00;0.613;0.836;01/06/2024 01:40:00
5216403;Paraúna;Centro-Oeste;GO;Vale do Rio dos Bois;3.779,38;10.980;3.702,32;900.916,75;0.672;3.253,95;12.047.191,18;8.112,00;0.547;0.807;01/06/2024 01:40:00
5216452;Perolândia;Centro-Oeste;GO;Sudoeste de Goiás;1.029,63;3.143;1.032,59;334.525,34;0.676;3.331,56;3.440.141,44;3.586,00;0.538;0.832;01/06/2024 01:40:00
5216809;Petrolina de Goiás;Centro-Oeste;GO;Anápolis;531,3;10.261;3.415,6;147.982,61;0.712;3.279,26;11.200.658,92;4.453,00;0.643;0.834;01/06/2024 01:40:00
5216908;Pilar de Goiás;Centro-Oeste;GO;Ceres;906,65;2.194;743,71;200.517,08;0.684;2.377,48;1.768.152,21;1.855,00;0.6;0.816;01/06/2024 01:40:00
5217104;Piracanjuba;Centro-Oeste;GO;Meia Ponte;2.405,12;24.548;9.018,77;793.762,37;0.721;3.647,45;32.895.498,05;12.798,00;0.599;0.87;01/06/2024 01:40:00
5217203;Piranhas;Centro-Oeste;GO;Aragarças;2.047,77;10.272;3.819,11;378.442,51;0.721;3.088,50;11.795.326,99;5.223,00;0.631;0.848;01/06/2024 01:40:00
5217302;Pirenópolis;Centro-Oeste;GO;Entorno de Brasília;2.205,01;25.064;8.257,26;448.361,52;0.693;3.136,18;25.896.283,58;13.383,00;0.604;0.813;01/06/2024 01:40:00
5217401;Pires do Rio;Centro-Oeste;GO;Pires do Rio;1.073,36;31.686;10.765,64;896.330,24;0.744;3.826,79;41.197.803,29;21.019,00;0.65;0.88;01/06/2024 01:40:00
5217609;Planaltina;Centro-Oeste;GO;Entorno de Brasília;2.538,2;90.640;26.451,86;1.085.976,57;0.669;3.236,49;85.611.144,07;28.772,00;0.566;0.81;01/06/2024 01:40:00
5217708;Pontalina;Centro-Oeste;GO;Meia Ponte;1.436,95;17.860;6.597,2;488.891,78;0.687;3.115,80;20.555.519,80;9.462,00;0.547;0.835;01/06/2024 01:40:00
5218003;Porangatu;Centro-Oeste;GO;Porangatu;4.820,51;45.633;15.120,02;939.661,32;0.727;3.197,28;48.342.927,54;22.782,00;0.642;0.845;01/06/2024 01:40:00
5218052;Porteirão;Centro-Oeste;GO;Meia Ponte;603,94;3.931;1.308,61;191.428,16;0.684;3.974,41;5.200.942,65;2.738,00;0.541;0.827;01/06/2024 01:40:00
5218102;Portelândia;Centro-Oeste;GO;Sudoeste de Goiás;556,58;4.022;1.350,93;215.876,71;0.654;3.320,46;4.485.719,91;2.549,00;0.513;0.803;01/06/2024 01:40:00
5218300;Posse;Centro-Oeste;GO;Vão do Paranã;2.024,53;37.414;11.165,96;507.960,93;0.659;2.971,03;33.174.396,31;15.753,00;0.53;0.819;01/06/2024 01:40:00
5218391;Professor Jamil;Centro-Oeste;GO;Meia Ponte;347,47;3.203;1.128,64;58.984,42;0.684;2.979,27;3.362.515,93;1.556,00;0.579;0.821;01/06/2024 01:40:00
5218508;Quirinópolis;Centro-Oeste;GO;Quirinópolis;3.786,7;50.701;17.350,31;1.685.283,55;0.74;3.973,82;68.947.028,14;35.681,00;0.642;0.863;01/06/2024 01:40:00
5218607;Rialma;Centro-Oeste;GO;Ceres;268,47;10.940;3.641;220.384,08;0.727;3.533,47;12.865.368,63;6.084,00;0.667;0.827;01/06/2024 01:40:00
5218706;Rianápolis;Centro-Oeste;GO;Ceres;159,26;4.817;1.594,78;94.132,20;0.693;3.260,97;5.200.529,21;2.144,00;0.587;0.84;01/06/2024 01:40:00
5218789;Rio Quente;Centro-Oeste;GO;Meia Ponte;255,96;4.612;1.571,87;326.340,08;0.731;3.498,96;5.499.919,83;8.004,00;0.629;0.878;01/06/2024 01:40:00
5218805;Rio Verde;Centro-Oeste;GO;Sudoeste de Goiás;8.379,66;241.518;79.245,43;9.602.904,68;0.754;4.316,19;342.037.998,25;159.503,00;0.656;0.853;01/06/2024 01:40:00
5218904;Rubiataba;Centro-Oeste;GO;Ceres;748,26;19.947;6.982,82;432.333,11;0.719;3.240,03;22.624.528,09;12.915,00;0.666;0.814;01/06/2024 01:40:00
5219001;Sanclerlândia;Centro-Oeste;GO;Anicuns;496,83;7.632;2.815,75;135.865,94;0.736;3.247,17;9.143.219,97;4.897,00;0.662;0.832;01/06/2024 01:40:00
5219100;Santa Bárbara de Goiás;Centro-Oeste;GO;Anicuns;139,6;6.634;2.235,99;93.755,45;0.706;3.162,95;7.072.315,88;3.271,00;0.635;0.832;01/06/2024 01:40:00
5219209;Santa Cruz de Goiás;Centro-Oeste;GO;Pires do Rio;1.108,96;2.819;1.037,1;131.515,07;0.688;3.268,14;3.389.383,80;1.453,00;0.563;0.827;01/06/2024 01:40:00
5219258;Santa Fé de Goiás;Centro-Oeste;GO;Rio Vermelho;1.169,17;5.523;1.891,19;293.932,16;0.713;3.265,95;6.176.546,02;3.769,00;0.608;0.847;01/06/2024 01:40:00
5219308;Santa Helena de Goiás;Centro-Oeste;GO;Sudoeste de Goiás;1.141,33;38.808;13.178,8;1.098.558,98;0.724;3.705,86;48.838.734,40;20.390,00;0.627;0.823;01/06/2024 01:40:00
5219357;Santa Isabel;Centro-Oeste;GO;Ceres;807,2;3.815;1.386,42;73.624,80;0.683;2.773,00;3.844.543,67;1.832,00;0.593;0.818;01/06/2024 01:40:00
5219407;Santa Rita do Araguaia;Centro-Oeste;GO;Sudoeste de Goiás;1.361,77;8.935;3.042,55;126.207,74;0.714;3.588,74;10.918.906,77;3.151,00;0.616;0.842;01/06/2024 01:40:00
5219456;Santa Rita do Novo Destino;Centro-Oeste;GO;Ceres;956,04;3.355;1.065,59;84.371,51;0.634;2.629,77;2.802.256,96;1.843,00;0.487;0.82;01/06/2024 01:40:00
5219506;Santa Rosa de Goiás;Centro-Oeste;GO;Anápolis;164,1;2.252;804,41;41.141,05;0.701;2.587,54;2.081.429,38;1.253,00;0.635;0.844;01/06/2024 01:40:00
5219605;Santa Tereza de Goiás;Centro-Oeste;GO;Porangatu;794,56;3.280;1.181,17;60.546,41;0.665;2.122,43;2.506.956,45;1.638,00;0.561;0.825;01/06/2024 01:40:00
5219704;Santa Terezinha de Goiás;Centro-Oeste;GO;Porangatu;1.202,24;8.562;2.863;129.761,92;0.701;2.582,67;7.394.185,00;3.856,00;0.644;0.826;01/06/2024 01:40:00
5219712;Santo Antônio da Barra;Centro-Oeste;GO;Sudoeste de Goiás;451,6;4.854;1.641,81;226.857,58;0.691;2.877,46;4.724.248,21;3.430,00;0.593;0.835;01/06/2024 01:40:00
5219738;Santo Antônio de Goiás;Centro-Oeste;GO;Goiânia;132,81;6.440;2.010;131.521,01;0.723;3.659,20;7.355.001,95;4.610,00;0.662;0.832;01/06/2024 01:40:00
5219753;Santo Antônio do Descoberto;Centro-Oeste;GO;Entorno de Brasília;944,05;75.829;22.378,89;672.227,99;0.665;3.030,92;67.828.678,49;23.821,00;0.556;0.818;01/06/2024 01:40:00
5219803;São Domingos;Centro-Oeste;GO;Vão do Paranã;3.295,73;13.103;3.995,92;160.523,17;0.597;1.811,70;7.239.411,08;3.368,00;0.445;0.83;01/06/2024 01:40:00
5219902;São Francisco de Goiás;Centro-Oeste;GO;Anápolis;415,79;6.267;2.158;102.540,89;0.651;2.799,72;6.041.795,03;2.884,00;0.509;0.825;01/06/2024 01:40:00
5220009;São João d'Aliança;Centro-Oeste;GO;Chapada dos Veadeiros;3.327,37;14.085;4.034,23;293.002,13;0.685;2.972,49;11.991.698,95;4.742,00;0.609;0.812;01/06/2024 01:40:00
5220058;São João da Paraúna;Centro-Oeste;GO;Vale do Rio dos Bois;287,83;1.345;506,77;52.295,33;0.724;3.013,85;1.527.336,85;865,00;0.664;0.818;01/06/2024 01:40:00
5220108;São Luís de Montes Belos;Centro-Oeste;GO;Anicuns;826;34.157;12.415,25;845.308,41;0.731;3.697,35;45.903.554,51;19.940,00;0.67;0.809;01/06/2024 01:40:00
5220157;São Luíz do Norte;Centro-Oeste;GO;Ceres;586,06;5.215;1.768,75;121.404,91;0.669;2.753,56;4.870.348,40;2.096,00;0.581;0.801;01/06/2024 01:40:00
5220207;São Miguel do Araguaia;Centro-Oeste;GO;São Miguel do Araguaia;6.144,4;21.920;7.454,76;485.064,95;0.664;2.839,86;21.170.489,82;10.881,00;0.536;0.818;01/06/2024 01:40:00
5220264;São Miguel do Passa Quatro;Centro-Oeste;GO;Pires do Rio;537,79;4.082;1.403,28;145.837,74;0.697;3.230,14;4.532.787,34;2.485,00;0.619;0.802;01/06/2024 01:40:00
5220280;São Patrício;Centro-Oeste;GO;Ceres;171,96;2.037;748,22;35.139,08;0.693;2.803,25;2.097.447,37;2.989,00;0.597;0.833;01/06/2024 01:40:00
5220405;São Simão;Centro-Oeste;GO;Quirinópolis;414,01;20.985;7.079,78;773.971,60;0.72;4.026,71;28.508.241,50;10.418,00;0.599;0.825;01/06/2024 01:40:00
5220454;Senador Canedo;Centro-Oeste;GO;Goiânia;245,28;118.451;35.502,34;3.739.802,47;0.701;3.522,39;125.053.184,55;53.147,00;0.617;0.827;01/06/2024 01:40:00
5220504;Serranópolis;Centro-Oeste;GO;Sudoeste de Goiás;5.526,73;8.642;2.920,11;409.245,72;0.681;3.657,07;10.679.058,92;6.041,00;0.551;0.804;01/06/2024 01:40:00
5220603;Silvânia;Centro-Oeste;GO;Pires do Rio;2.345,94;20.816;7.010,14;737.273,62;0.709;3.675,69;25.767.126,96;11.438,00;0.606;0.814;01/06/2024 01:40:00
5220686;Simolândia;Centro-Oeste;GO;Vão do Paranã;347,98;6.879;2.009,53;103.470,22;0.645;2.317,06;4.656.200,77;2.714,00;0.546;0.826;01/06/2024 01:40:00
5220702;Sítio d´Abadia;Centro-Oeste;GO;Vão do Paranã;1.598,34;3.001;922,07;48.445,32;0.617;1.901,51;1.753.315,61;1.062,00;0.497;0.802;01/06/2024 01:40:00
5221007;Taquaral de Goiás;Centro-Oeste;GO;Anápolis;204,22;3.521;1.327,83;63.921,82;0.716;3.254,43;4.321.323,30;2.097,00;0.619;0.846;01/06/2024 01:40:00
5221080;Teresina de Goiás;Centro-Oeste;GO;Chapada dos Veadeiros;774,64;3.498;982,51;32.458,77;0.661;2.728,51;2.680.777,40;1.193,00;0.564;0.817;01/06/2024 01:40:00
5221197;Terezópolis de Goiás;Centro-Oeste;GO;Goiânia;106,91;8.186;2.569,45;199.994,97;0.685;3.034,68;7.797.466,90;3.489,00;0.615;0.799;01/06/2024 01:40:00
5221304;Três Ranchos;Centro-Oeste;GO;Catalão;282,07;2.830;988,68;49.513,62;0.745;3.674,76;3.633.152,84;1.498,00;0.672;0.849;01/06/2024 01:40:00
5221403;Trindade;Centro-Oeste;GO;Goiânia;710,71;129.823;41.393,26;2.151.414,95;0.699;3.405,82;140.978.164,65;57.137,00;0.608;0.822;01/06/2024 01:40:00
5221452;Trombas;Centro-Oeste;GO;Porangatu;799,12;3.498;1.226,3;51.743,75;0.653;2.197,45;2.694.738,91;1.442,00;0.547;0.812;01/06/2024 01:40:00
5221502;Turvânia;Centro-Oeste;GO;Anicuns;480,78;4.564;1.695,38;85.079,49;0.697;2.827,90;4.794.351,33;2.409,00;0.609;0.82;01/06/2024 01:40:00
5221551;Turvelândia;Centro-Oeste;GO;Vale do Rio dos Bois;933,96;5.365;1.754,57;351.441,16;0.691;3.193,21;5.602.723,65;5.628,00;0.605;0.813;01/06/2024 01:40:00
5221577;Uirapuru;Centro-Oeste;GO;São Miguel do Araguaia;1.153,47;2.840;1.004,12;43.692,41;0.67;2.439,69;2.449.731,28;1.283,00;0.579;0.822;01/06/2024 01:40:00
5221601;Uruaçu;Centro-Oeste;GO;Porangatu;2.141,82;40.840;13.510,34;845.362,01;0.737;3.599,15;48.625.795,47;21.052,00;0.628;0.86;01/06/2024 01:40:00
5221700;Uruana;Centro-Oeste;GO;Ceres;522,51;13.818;4.947,39;211.856,44;0.703;2.731,80;13.515.290,94;5.158,00;0.634;0.824;01/06/2024 01:40:00
5221809;Urutaí;Centro-Oeste;GO;Pires do Rio;626,72;3.066;1.072,8;87.332,75;0.732;3.395,10;3.642.256,87;1.844,00;0.666;0.841;01/06/2024 01:40:00
5221858;Valparaíso de Goiás;Centro-Oeste;GO;Entorno de Brasília;60,53;172.135;53.213,13;2.559.584,52;0.746;4.195,05;223.231.689,87;61.489,00;0.695;0.815;01/06/2024 01:40:00
5221908;Varjão;Centro-Oeste;GO;Vale do Rio dos Bois;519,19;3.838;1.384,28;66.147,04;0.687;3.249,38;4.498.058,35;1.156,00;0.572;0.813;01/06/2024 01:40:00
5222005;Vianópolis;Centro-Oeste;GO;Pires do Rio;954,28;13.977;4.636,64;440.221,99;0.712;3.765,13;17.457.551,66;7.485,00;0.622;0.818;01/06/2024 01:40:00
5222054;Vicentinópolis;Centro-Oeste;GO;Meia Ponte;737,26;8.873;2.951,23;322.359,33;0.684;3.485,82;10.287.462,22;6.012,00;0.562;0.804;01/06/2024 01:40:00
5222203;Vila Boa;Centro-Oeste;GO;Entorno de Brasília;1.060,17;6.312;1.951,17;103.408,14;0.647;2.534,97;4.946.157,06;2.807,00;0.534;0.818;01/06/2024 01:40:00
5222302;Vila Propício;Centro-Oeste;GO;Entorno de Brasília;2.181,58;5.882;1.767,58;163.782,38;0.634;2.426,94;4.289.808,50;3.069,00;0.505;0.802;01/06/2024 01:40:00
